name,position,country,season,market value,transfer fee,left,joined,old club league,new club league,old club league type,new club league type,age,contract remaining
João Félix,Second Striker,Portugal,19/20,€70.00m,€127.20m,SL Benfica,Atlético de Madrid,Liga NOS,LaLiga,First Tier,First Tier,19 years 07 months 23 days,03 Years 11 Months 27 Days
Antoine Griezmann,Second Striker,France,19/20,€130.00m,€120.00m,Atlético de Madrid,FC Barcelona,LaLiga,LaLiga,First Tier,First Tier,28 years 03 months 23 days,03 Years 11 Months 16 Days
Eden Hazard,Left Winger,Belgium,19/20,€150.00m,€115.00m,Chelsea FC,Real Madrid,Premier League,LaLiga,First Tier,First Tier,28 years 05 months 24 days,11 Months 30 Days
Harry Maguire,Centre-Back,England,19/20,€50.00m,€87.00m,Leicester City,Manchester United,Premier League,Premier League,First Tier,First Tier,26 years 05 months 00 days,03 Years 10 Months 25 Days
Frenkie de Jong,Central Midfield,Netherlands,19/20,€85.00m,€86.00m,Ajax Amsterdam,FC Barcelona,Eredivisie,LaLiga,First Tier,First Tier,22 years 01 month 19 days,02 Years 11 Months 30 Days
Matthijs de Ligt,Centre-Back,Netherlands,19/20,€75.00m,€85.50m,Ajax Amsterdam,Juventus FC,Eredivisie,Serie A,First Tier,First Tier,19 years 11 months 06 days,01 Years 11 Months 12 Days
Lucas Hernández,Centre-Back,France,19/20,€70.00m,€80.00m,Atlético de Madrid,Bayern Munich,LaLiga,Bundesliga,First Tier,First Tier,23 years 04 months 17 days,04 Years 11 Months 30 Days
Nicolas Pépé,Right Winger,Cote d'Ivoire,19/20,€65.00m,€80.00m,LOSC Lille,Arsenal FC,Ligue 1,Premier League,First Tier,First Tier,24 years 02 months 03 days,02 Years 10 Months 29 Days
Romelu Lukaku,Centre-Forward,Belgium,19/20,€75.00m,€74.00m,Manchester United,Inter Milan,Premier League,Serie A,First Tier,First Tier,26 years 02 months 26 days,02 Years 10 Months 22 Days
Rodri,Defensive Midfield,Spain,19/20,€80.00m,€70.00m,Atlético de Madrid,Manchester City,LaLiga,Premier League,First Tier,First Tier,23 years 12 days,03 Years 11 Months 26 Days
João Cancelo,Right-Back,Portugal,19/20,€55.00m,€65.00m,Juventus FC,Manchester City,Serie A,Premier League,First Tier,First Tier,25 years 02 months 11 days,03 Years 10 Months 23 Days
Luka Jovic,Centre-Forward,Serbia,19/20,€60.00m,€63.00m,Eintracht Frankfurt,Real Madrid,Bundesliga,LaLiga,First Tier,First Tier,21 years 06 months 09 days,03 Years 11 Months 28 Days
Bruno Fernandes,Attacking Midfield,Portugal,19/20,€60.00m,€63.00m,Sporting CP,Manchester United,Liga NOS,Premier League,First Tier,First Tier,25 years 04 months 21 days,03 Years 05 Months 01 Days
Tanguy Ndombélé,Central Midfield,France,19/20,€65.00m,€62.00m,Olympique Lyon,Tottenham Hotspur,Ligue 1,Premier League,First Tier,First Tier,22 years 06 months 04 days,03 Years 11 Months 28 Days
Aaron Wan-Bissaka,Right-Back,England,19/20,€35.00m,€55.00m,Crystal Palace,Manchester United,Premier League,Premier League,First Tier,First Tier,21 years 07 months 05 days,02 Years 11 Months 30 Days
Éder Militão,Centre-Back,Brazil,19/20,€50.00m,€50.00m,FC Porto,Real Madrid,Liga NOS,LaLiga,First Tier,First Tier,21 years 05 months 13 days,03 Years 11 Months 30 Days
Sébastien Haller,Centre-Forward,Cote d'Ivoire,19/20,€40.00m,€50.00m,Eintracht Frankfurt,West Ham United,Bundesliga,Premier League,First Tier,First Tier,25 years 25 days,01 Years 11 Months 13 Days
Ferland Mendy,Left-Back,France,19/20,€30.00m,€48.00m,Olympique Lyon,Real Madrid,Ligue 1,LaLiga,First Tier,First Tier,24 years 23 days,03 Years 11 Months 30 Days
Hirving Lozano,Right Winger,Mexico,19/20,€40.00m,€45.00m,PSV Eindhoven,SSC Napoli,Eredivisie,Serie A,First Tier,First Tier,24 years 24 days,03 Years 10 Months 07 Days
Rodrygo,Right Winger,Brazil,19/20,€40.00m,€45.00m,Santos FC,Real Madrid,Campeonato Brasileiro Série A,LaLiga,First Tier,First Tier,18 years 05 months 22 days,03 Years 06 Months 00 Days
Youri Tielemans,Central Midfield,Belgium,19/20,€38.00m,€45.00m,AS Monaco,Leicester City,Ligue 1,Premier League,First Tier,First Tier,22 years 02 months 01 day,02 Years 11 Months 22 Days
Mateo Kovacic,Central Midfield,Croatia,19/20,€35.00m,€45.00m,Real Madrid,Chelsea FC,LaLiga,Premier League,First Tier,First Tier,25 years 01 month 25 days,01 Years 11 Months 30 Days
Joelinton,Attacking Midfield,Brazil,19/20,€35.00m,€44.00m,TSG 1899 Hoffenheim,Newcastle United,Bundesliga,Premier League,First Tier,First Tier,22 years 11 months 09 days,02 Years 11 Months 07 Days
Wissam Ben Yedder,Centre-Forward,France,19/20,€40.00m,€40.00m,Sevilla FC,AS Monaco,LaLiga,Ligue 1,First Tier,First Tier,29 years 02 days,01 Years 10 Months 16 Days
