name,position,country,season,market value,transfer fee,left,joined,old club league,new club league,old club league type,new club league type,age,contract remaining
Malcom,Right Winger,Brazil,19/20,€40.00m,€40.00m,FC Barcelona,Zenit St. Petersburg,LaLiga,Premier Liga,First Tier,First Tier,22 years 05 months 07 days,03 Years 10 Months 28 Days
Raúl Jiménez,Centre-Forward,Mexico,19/20,€35.00m,€38.00m,SL Benfica,Wolverhampton Wanderers,Liga NOS,Premier League,First Tier,First Tier,28 years 01 month 26 days,01 Years 11 Months 30 Days
Danilo,Right-Back,Brazil,19/20,€20.00m,€37.00m,Manchester City,Juventus FC,Premier League,Serie A,First Tier,First Tier,28 years 23 days,04 Years 10 Months 23 Days
Konstantinos Manolas,Centre-Back,Greece,19/20,€45.00m,€36.00m,AS Roma,SSC Napoli,Serie A,Serie A,First Tier,First Tier,28 years 17 days,02 Years 11 Months 30 Days
Benjamin Pavard,Right-Back,France,19/20,€30.00m,€35.00m,VfB Stuttgart,Bayern Munich,2. Bundesliga,Bundesliga,Second Tier,First Tier,23 years 03 months 03 days,01 Years 11 Months 30 Days
Dejan Kulusevski,Right Winger,Sweden,19/20,€25.00m,€35.00m,Atalanta BC,Juventus FC,Serie A,Serie A,First Tier,First Tier,19 years 08 months 08 days,03 Years 05 Months 28 Days
Jasper Cillessen,Goalkeeper,Netherlands,19/20,€18.00m,€35.00m,FC Barcelona,Valencia CF,LaLiga,LaLiga,First Tier,First Tier,30 years 02 months 09 days,01 Years 11 Months 30 Days
Jules Koundé,Centre-Back,France,19/20,€15.00m,€35.00m,FC Girondins Bordeaux,Sevilla FC,Ligue 1,LaLiga,First Tier,First Tier,20 years 07 months 21 days,03 Years 11 Months 27 Days
Ayoze Pérez,Second Striker,Spain,19/20,€20.00m,€33.40m,Newcastle United,Leicester City,Premier League,Premier League,First Tier,First Tier,25 years 11 months 05 days,01 Years 11 Months 26 Days
Abdou Diallo,Centre-Back,Senegal,19/20,€35.00m,€32.00m,Borussia Dortmund,Paris Saint-Germain,Bundesliga,Ligue 1,First Tier,First Tier,23 years 02 months 12 days,03 Years 11 Months 14 Days
Franck Kessié,Central Midfield,Cote d'Ivoire,19/20,€33.00m,€32.00m,Atalanta BC,AC Milan,Serie A,Serie A,First Tier,First Tier,22 years 06 months 12 days,01 Years 11 Months 30 Days
Kerem Demirbay,Central Midfield,Germany,19/20,€32.00m,€32.00m,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,Bundesliga,Bundesliga,First Tier,First Tier,25 years 11 months 28 days,02 Years 11 Months 30 Days
Cristian Romero,Centre-Back,Argentina,19/20,€15.00m,€31.50m,Genoa CFC,Juventus FC,Serie A,Serie A,First Tier,First Tier,21 years 02 months 15 days,03 Years 11 Months 18 Days
Mats Hummels,Centre-Back,Germany,19/20,€35.00m,€30.50m,Bayern Munich,Borussia Dortmund,Bundesliga,Bundesliga,First Tier,First Tier,30 years 06 months 15 days,01 Years 11 Months 30 Days
Alex Iwobi,Attacking Midfield,Nigeria,19/20,€25.00m,€30.40m,Arsenal FC,Everton FC,Premier League,Premier League,First Tier,First Tier,23 years 03 months 05 days,02 Years 10 Months 22 Days
Steven Bergwijn,Left Winger,Netherlands,19/20,€35.00m,€30.00m,PSV Eindhoven,Tottenham Hotspur,Eredivisie,Premier League,First Tier,First Tier,22 years 03 months 21 days,03 Years 05 Months 01 Days
Ismaïla Sarr,Right Winger,Senegal,19/20,€30.00m,€30.00m,Stade Rennais FC,Watford FC,Ligue 1,Premier League,First Tier,First Tier,21 years 05 months 14 days,01 Years 10 Months 22 Days
Gelson Martins,Right Winger,Portugal,19/20,€28.00m,€30.00m,Atlético de Madrid,AS Monaco,LaLiga,Ligue 1,First Tier,First Tier,24 years 01 month 20 days,03 Years 11 Months 30 Days
Reinier,Attacking Midfield,Brazil,19/20,€25.00m,€30.00m,CR Flamengo,Real Madrid,Campeonato Brasileiro Série A,LaLiga,First Tier,First Tier,18 years 01 day,04 Years 09 Months 11 Days
Idrissa Gueye,Central Midfield,Senegal,19/20,€25.00m,€30.00m,Everton FC,Paris Saint-Germain,Premier League,Ligue 1,First Tier,First Tier,29 years 10 months 04 days,02 Years 11 Months 00 Days
Marcos Llorente,Central Midfield,Spain,19/20,€20.00m,€30.00m,Real Madrid,Atlético de Madrid,LaLiga,LaLiga,First Tier,First Tier,24 years 05 months 01 day,01 Years 11 Months 30 Days
William Saliba,Centre-Back,France,19/20,€12.00m,€30.00m,AS Saint-Étienne,Arsenal FC,Ligue 1,Premier League,First Tier,First Tier,18 years 04 months 01 day,03 Years 11 Months 05 Days
Leonardo Spinazzola,Left-Back,Italy,19/20,€15.00m,€29.50m,Juventus FC,AS Roma,Serie A,Serie A,First Tier,First Tier,26 years 03 months 06 days,02 Years 11 Months 30 Days
Rafael Leão,Left Winger,Portugal,19/20,€15.00m,€29.50m,LOSC Lille,AC Milan,Ligue 1,Serie A,First Tier,First Tier,20 years 01 month 22 days,03 Years 10 Months 29 Days
Dani Olmo,Attacking Midfield,Spain,19/20,€35.00m,€29.00m,GNK Dinamo Zagreb,RB Leipzig,1.HNL,Bundesliga,First Tier,First Tier,21 years 08 months 18 days,01 Years 05 Months 05 Days
Borja Iglesias,Centre-Forward,Spain,19/20,€28.00m,€28.00m,RCD Espanyol Barcelona,Real Betis Balompié,LaLiga,LaLiga,First Tier,First Tier,26 years 06 months 28 days,02 Years 10 Months 16 Days
Pablo Fornals,Attacking Midfield,Spain,19/20,€25.00m,€28.00m,Villarreal CF,West Ham United,LaLiga,Premier League,First Tier,First Tier,23 years 04 months 09 days,02 Years 11 Months 30 Days
Moise Kean,Centre-Forward,Italy,19/20,€40.00m,€27.50m,Juventus FC,Everton FC,Serie A,Premier League,First Tier,First Tier,19 years 05 months 07 days,10 Months 26 Days
Christian Eriksen,Central Midfield,Denmark,19/20,€90.00m,€27.00m,Tottenham Hotspur,Inter Milan,Premier League,Serie A,First Tier,First Tier,27 years 11 months 14 days,05 Months 02 Days
Ryan Sessegnon,Left Midfield,England,19/20,€35.00m,€27.00m,Fulham FC,Tottenham Hotspur,Championship,Premier League,Second Tier,First Tier,19 years 02 months 21 days,10 Months 22 Days
Kieran Tierney,Left-Back,Scotland,19/20,€12.50m,€27.00m,Celtic FC,Arsenal FC,Scottish Premiership,Premier League,First Tier,First Tier,22 years 02 months 03 days,03 Years 09 Months 23 Days
Alex Meret,Goalkeeper,Italy,19/20,€25.00m,€26.00m,Udinese Calcio,SSC Napoli,Serie A,Serie A,First Tier,First Tier,22 years 03 months 09 days,02 Years 11 Months 30 Days
Neto,Goalkeeper,Brazil,19/20,€18.00m,€26.00m,Valencia CF,FC Barcelona,LaLiga,LaLiga,First Tier,First Tier,29 years 11 months 12 days,01 Years 11 Months 30 Days
Thorgan Hazard,Left Winger,Belgium,19/20,€38.00m,€25.50m,Borussia Mönchengladbach,Borussia Dortmund,Bundesliga,Bundesliga,First Tier,First Tier,26 years 03 months 02 days,11 Months 30 Days
Nico Schulz,Left-Back,Germany,19/20,€25.00m,€25.50m,TSG 1899 Hoffenheim,Borussia Dortmund,Bundesliga,Bundesliga,First Tier,First Tier,26 years 02 months 30 days,01 Years 11 Months 30 Days
Danny Ings,Centre-Forward,England,19/20,€15.00m,€25.10m,Liverpool FC,Southampton FC,Premier League,Premier League,First Tier,First Tier,26 years 11 months 08 days,11 Months 30 Days
Julian Brandt,Attacking Midfield,Germany,19/20,€50.00m,€25.00m,Bayer 04 Leverkusen,Borussia Dortmund,Bundesliga,Bundesliga,First Tier,First Tier,23 years 01 month 29 days,01 Years 11 Months 30 Days
Marko Arnautovic,Centre-Forward,Austria,19/20,€35.00m,€25.00m,West Ham United,Shanghai SIPG,Premier League,Chinese Super League,First Tier,First Tier,30 years 02 months 19 days,03 Years 11 Months 22 Days
Jean-Philippe Gbamin,Defensive Midfield,Cote d'Ivoire,19/20,€28.00m,€25.00m,1.FSV Mainz 05,Everton FC,Bundesliga,Premier League,First Tier,First Tier,23 years 10 months 08 days,03 Years 10 Months 28 Days
André Gomes,Central Midfield,Portugal,19/20,€28.00m,€25.00m,FC Barcelona,Everton FC,LaLiga,Premier League,First Tier,First Tier,25 years 11 months 01 day,01 Years 11 Months 30 Days
Rony Lopes,Right Winger,Portugal,19/20,€25.00m,€25.00m,AS Monaco,Sevilla FC,Ligue 1,LaLiga,First Tier,First Tier,23 years 07 months 17 days,02 Years 10 Months 16 Days
Mario Hermoso,Centre-Back,Spain,19/20,€25.00m,€25.00m,RCD Espanyol Barcelona,Atlético de Madrid,LaLiga,LaLiga,First Tier,First Tier,24 years 01 month 00 days,11 Months 12 Days
Wesley Moraes,Centre-Forward,Brazil,19/20,€20.00m,€25.00m,Club Brugge KV,Aston Villa,Jupiler Pro League,Premier League,First Tier,First Tier,22 years 07 months 07 days,03 Years 11 Months 30 Days
Lucas Tousart,Defensive Midfield,France,19/20,€20.00m,€25.00m,Olympique Lyon,Hertha BSC,Ligue 1,Bundesliga,First Tier,First Tier,22 years 08 months 29 days,03 Years 05 Months 03 Days
Jeff Reine-Adélaïde,Attacking Midfield,France,19/20,€11.00m,€25.00m,Angers SCO,Olympique Lyon,Ligue 1,Ligue 1,First Tier,First Tier,21 years 06 months 28 days,02 Years 10 Months 16 Days
Krzysztof Piatek,Centre-Forward,Poland,19/20,€32.00m,€24.00m,AC Milan,Hertha BSC,Serie A,Bundesliga,First Tier,First Tier,24 years 06 months 30 days,03 Years 05 Months 00 Days
Joachim Andersen,Centre-Back,Denmark,19/20,€25.00m,€24.00m,UC Sampdoria,Olympique Lyon,Serie A,Ligue 1,First Tier,First Tier,23 years 01 month 11 days,02 Years 11 Months 18 Days
Pau López,Goalkeeper,Spain,19/20,€20.00m,€23.50m,Real Betis Balompié,AS Roma,LaLiga,Serie A,First Tier,First Tier,24 years 06 months 27 days,03 Years 11 Months 20 Days
Paco Alcácer,Centre-Forward,Spain,19/20,€42.00m,€23.00m,Borussia Dortmund,Villarreal CF,Bundesliga,LaLiga,First Tier,First Tier,26 years 05 months 00 days,03 Years 05 Months 00 Days
Sander Berge,Central Midfield,Norway,19/20,€22.00m,€23.00m,KRC Genk,Sheffield United,Jupiler Pro League,Premier League,First Tier,First Tier,21 years 11 months 16 days,01 Years 05 Months 00 Days
Nikola Vlasic,Attacking Midfield,Croatia,19/20,€20.00m,€23.00m,Everton FC,CSKA Moscow,Premier League,Premier Liga,First Tier,First Tier,21 years 08 months 27 days,02 Years 11 Months 30 Days
Theo Hernández,Left-Back,France,19/20,€15.00m,€22.80m,Real Madrid,AC Milan,LaLiga,Serie A,First Tier,First Tier,21 years 09 months 00 days,03 Years 11 Months 24 Days
Raúl de Tomás,Centre-Forward,Spain,19/20,€15.00m,€22.50m,SL Benfica,RCD Espanyol Barcelona,Liga NOS,LaLiga,First Tier,First Tier,25 years 02 months 23 days,04 Years 05 Months 21 Days
Valentino Lazaro,Right-Back,Austria,19/20,€17.00m,€22.40m,Hertha BSC,Inter Milan,Bundesliga,Serie A,First Tier,First Tier,23 years 03 months 07 days,01 Years 11 Months 30 Days
Victor Osimhen,Centre-Forward,Nigeria,19/20,€13.00m,€22.40m,RSC Charleroi,LOSC Lille,Jupiler Pro League,Ligue 1,First Tier,First Tier,20 years 07 months 03 days,
Luka Jovic,Centre-Forward,Serbia,19/20,€60.00m,€22.34m,SL Benfica,Eintracht Frankfurt,Liga NOS,Bundesliga,First Tier,First Tier,21 years 06 months 08 days,01 Years 11 Months 30 Days
Tyrone Mings,Centre-Back,England,19/20,€5.00m,€22.30m,AFC Bournemouth,Aston Villa,Premier League,Premier League,First Tier,First Tier,26 years 03 months 25 days,02 Years 11 Months 22 Days
Adam Webster,Centre-Back,England,19/20,€9.00m,€22.22m,Bristol City,Brighton & Hove Albion,Championship,Premier League,Second Tier,First Tier,24 years 06 months 30 days,02 Years 10 Months 27 Days
Giovani Lo Celso,Central Midfield,Argentina,19/20,€50.00m,€22.00m,Paris Saint-Germain,Real Betis Balompié,Ligue 1,LaLiga,First Tier,First Tier,23 years 02 months 22 days,01 Years 11 Months 30 Days
Kieran Trippier,Right-Back,England,19/20,€35.00m,€22.00m,Tottenham Hotspur,Atlético de Madrid,Premier League,LaLiga,First Tier,First Tier,28 years 09 months 28 days,02 Years 11 Months 13 Days
Thiago Mendes,Defensive Midfield,Brazil,19/20,€25.00m,€22.00m,LOSC Lille,Olympique Lyon,Ligue 1,Ligue 1,First Tier,First Tier,27 years 03 months 18 days,02 Years 11 Months 27 Days
Bryan Cristante,Defensive Midfield,Italy,19/20,€25.00m,€22.00m,Atalanta BC,AS Roma,Serie A,Serie A,First Tier,First Tier,24 years 03 months 28 days,03 Years 11 Months 30 Days
Luca Pellegrini,Left-Back,Italy,19/20,€5.00m,€22.00m,AS Roma,Juventus FC,Serie A,Serie A,First Tier,First Tier,20 years 03 months 24 days,02 Years 11 Months 30 Days
Renan Lodi,Left-Back,Brazil,19/20,€4.00m,€21.75m,Club Athletico Paranaense,Atlético de Madrid,Campeonato Brasileiro Série A,LaLiga,First Tier,First Tier,21 years 02 months 29 days,03 Years 05 Months 24 Days
Jarrod Bowen,Right Winger,England,19/20,€10.00m,€21.30m,Hull City,West Ham United,Championship,Premier League,Second Tier,First Tier,23 years 01 month 11 days,04 Months 30 Days
Luis Muriel,Centre-Forward,Colombia,19/20,€13.00m,€21.20m,Sevilla FC,Atalanta BC,LaLiga,Serie A,First Tier,First Tier,28 years 02 months 15 days,02 Years 11 Months 30 Days
Matteo Politano,Right Winger,Italy,19/20,€30.00m,€21.10m,US Sassuolo,Inter Milan,Serie A,Serie A,First Tier,First Tier,25 years 10 months 28 days,02 Years 11 Months 30 Days
Paco Alcácer,Centre-Forward,Spain,19/20,€37.00m,€21.00m,FC Barcelona,Borussia Dortmund,LaLiga,Bundesliga,First Tier,First Tier,25 years 10 months 01 day,01 Years 11 Months 30 Days
Stanislav Lobotka,Defensive Midfield,Slovakia,19/20,€20.00m,€21.00m,Celta de Vigo,SSC Napoli,LaLiga,Serie A,First Tier,First Tier,25 years 01 month 21 days,03 Years 05 Months 15 Days
Amadou Diawara,Defensive Midfield,Guinea,19/20,€15.00m,€21.00m,SSC Napoli,AS Roma,Serie A,Serie A,First Tier,First Tier,21 years 11 months 14 days,01 Years 11 Months 30 Days
Raphinha,Right Winger,Brazil,19/20,€8.00m,€21.00m,Sporting CP,Stade Rennais FC,Liga NOS,Ligue 1,First Tier,First Tier,22 years 08 months 19 days,03 Years 09 Months 28 Days
Kasper Dolberg,Centre-Forward,Denmark,19/20,€18.00m,€20.50m,Ajax Amsterdam,OGC Nice,Eredivisie,Ligue 1,First Tier,First Tier,21 years 10 months 23 days,02 Years 10 Months 01 Days
Edmond Tapsoba,Centre-Back,Burkina Faso,19/20,€4.50m,€20.20m,Vitória Guimarães SC,Bayer 04 Leverkusen,Liga NOS,Bundesliga,First Tier,First Tier,20 years 11 months 29 days,02 Years 04 Months 30 Days
Erling Haaland,Centre-Forward,Norway,19/20,€45.00m,€20.00m,Red Bull Salzburg,Borussia Dortmund,Bundesliga,Bundesliga,First Tier,First Tier,19 years 05 months 11 days,03 Years 05 Months 29 Days
Junior Firpo,Left-Back,Dominican Republic,19/20,€25.00m,€20.00m,Real Betis Balompié,FC Barcelona,LaLiga,LaLiga,First Tier,First Tier,22 years 11 months 13 days,03 Years 10 Months 26 Days
Julian Weigl,Defensive Midfield,Germany,19/20,€23.00m,€20.00m,Borussia Dortmund,SL Benfica,Bundesliga,Liga NOS,First Tier,First Tier,24 years 03 months 24 days,01 Years 05 Months 29 Days
Felipe,Centre-Back,Brazil,19/20,€20.00m,€20.00m,FC Porto,Atlético de Madrid,Liga NOS,LaLiga,First Tier,First Tier,30 years 01 month 15 days,01 Years 11 Months 30 Days
Raúl de Tomás,Centre-Forward,Spain,19/20,€20.00m,€20.00m,Real Madrid,SL Benfica,LaLiga,Liga NOS,First Tier,First Tier,24 years 08 months 16 days,03 Years 11 Months 27 Days
Bruno Guimarães,Defensive Midfield,Brazil,19/20,€20.00m,€20.00m,Club Athletico Paranaense,Olympique Lyon,Campeonato Brasileiro Série A,Ligue 1,First Tier,First Tier,22 years 02 months 14 days,03 Years 02 Days
Dodi Lukébakio,Right Winger,Belgium,19/20,€18.00m,€20.00m,Watford FC,Hertha BSC,Premier League,Bundesliga,First Tier,First Tier,21 years 10 months 08 days,02 Years 10 Months 29 Days
Renato Sanches,Central Midfield,Portugal,19/20,€18.00m,€20.00m,Bayern Munich,LOSC Lille,Bundesliga,Ligue 1,First Tier,First Tier,22 years 05 days,01 Years 10 Months 07 Days
Emil Audero,Goalkeeper,Italy,19/20,€15.00m,€20.00m,Juventus FC,UC Sampdoria,Serie A,Serie A,First Tier,First Tier,22 years 05 months 13 days,01 Years 11 Months 30 Days
Maximilian Philipp,Second Striker,Germany,19/20,€13.00m,€20.00m,Borussia Dortmund,Dinamo Moscow,Bundesliga,Premier Liga,First Tier,First Tier,25 years 05 months 11 days,02 Years 10 Months 21 Days
Youssef En-Nesyri,Centre-Forward,Morocco,19/20,€12.00m,€20.00m,CD Leganés,Sevilla FC,LaLiga,LaLiga,First Tier,First Tier,22 years 07 months 15 days,03 Years 05 Months 14 Days
Nabil Fekir,Attacking Midfield,France,19/20,€60.00m,€19.75m,Olympique Lyon,Real Betis Balompié,Ligue 1,LaLiga,First Tier,First Tier,26 years 05 days,11 Months 07 Days
Daniel Podence,Left Winger,Portugal,19/20,€6.00m,€19.60m,Olympiacos Piraeus,Wolverhampton Wanderers,Super League 1,Premier League,First Tier,First Tier,24 years 03 months 09 days,03 Years 05 Months 00 Days
Merih Demiral,Centre-Back,Turkey,19/20,€15.00m,€19.50m,US Sassuolo,Juventus FC,Serie A,Serie A,First Tier,First Tier,21 years 04 months 00 days,03 Years 11 Months 25 Days
Sofyan Amrabat,Defensive Midfield,Morocco,19/20,€10.00m,€19.50m,Hellas Verona,ACF Fiorentina,Serie A,Serie A,First Tier,First Tier,23 years 05 months 09 days,
Dennis Praet,Central Midfield,Belgium,19/20,€24.00m,€19.20m,UC Sampdoria,Leicester City,Serie A,Premier League,First Tier,First Tier,25 years 02 months 25 days,01 Years 10 Months 22 Days
Oliver McBurnie,Centre-Forward,Scotland,19/20,€8.00m,€19.10m,Swansea City,Sheffield United,Championship,Premier League,Second Tier,First Tier,23 years 01 month 29 days,
Yusuf Yazici,Attacking Midfield,Turkey,19/20,€13.00m,€18.50m,Trabzonspor,LOSC Lille,Süper Lig,Ligue 1,First Tier,First Tier,22 years 06 months 08 days,02 Years 10 Months 24 Days
Salomón Rondón,Centre-Forward,Venezuela,19/20,€15.00m,€18.27m,West Bromwich Albion,Dalian Professional,Championship,Chinese Super League,Second Tier,First Tier,29 years 10 months 03 days,
Pablo Sarabia,Right Winger,Spain,19/20,€40.00m,€18.00m,Sevilla FC,Paris Saint-Germain,LaLiga,Ligue 1,First Tier,First Tier,27 years 01 month 21 days,11 Months 28 Days
Patrick Cutrone,Centre-Forward,Italy,19/20,€28.00m,€18.00m,AC Milan,Wolverhampton Wanderers,Serie A,Premier League,First Tier,First Tier,21 years 06 months 27 days,03 Years 11 Months 00 Days
Allan Saint-Maximin,Left Winger,France,19/20,€25.00m,€18.00m,OGC Nice,Newcastle United,Ligue 1,Premier League,First Tier,First Tier,22 years 04 months 21 days,02 Years 10 Months 28 Days
Ademola Lookman,Second Striker,Nigeria,19/20,€20.00m,€18.00m,Everton FC,RB Leipzig,Premier League,Bundesliga,First Tier,First Tier,21 years 09 months 05 days,01 Years 11 Months 05 Days
Guillermo Maripán,Centre-Back,Chile,19/20,€15.00m,€18.00m,Deportivo Alavés,AS Monaco,LaLiga,Ligue 1,First Tier,First Tier,25 years 03 months 18 days,01 Years 10 Months 06 Days
Aurélien Tchouaméni,Defensive Midfield,France,19/20,€14.00m,€18.00m,FC Girondins Bordeaux,AS Monaco,Ligue 1,Ligue 1,First Tier,First Tier,20 years 02 days,02 Years 05 Months 01 Days
Matheus Cunha,Centre-Forward,Brazil,19/20,€13.00m,€18.00m,RB Leipzig,Hertha BSC,Bundesliga,Bundesliga,First Tier,First Tier,20 years 08 months 04 days,03 Years 04 Months 30 Days
Martin Braithwaite,Centre-Forward,Denmark,19/20,€10.00m,€18.00m,CD Leganés,FC Barcelona,LaLiga,LaLiga,First Tier,First Tier,28 years 08 months 15 days,03 Years 04 Months 10 Days
Guus Til,Attacking Midfield,Netherlands,19/20,€6.00m,€18.00m,AZ Alkmaar,Spartak Moscow,Eredivisie,Premier Liga,First Tier,First Tier,21 years 07 months 14 days,03 Years 10 Months 25 Days
Pedro Neto,Right Winger,Portugal,19/20,€2.50m,€17.90m,SS Lazio,Wolverhampton Wanderers,Serie A,Premier League,First Tier,First Tier,19 years 04 months 24 days,02 Years 10 Months 28 Days
Daniel James,Right Winger,Wales,19/20,€12.00m,€17.80m,Swansea City,Manchester United,Championship,Premier League,Second Tier,First Tier,21 years 07 months 21 days,11 Months 30 Days
Gabriel Barbosa,Centre-Forward,Brazil,19/20,€23.00m,€17.50m,Inter Milan,CR Flamengo,Serie A,Campeonato Brasileiro Série A,First Tier,First Tier,23 years 05 months 01 day,02 Years 04 Months 30 Days
Pedri,Central Midfield,Spain,19/20,-,€17.50m,UD Las Palmas,FC Barcelona,LaLiga2,LaLiga,Second Tier,First Tier,16 years 09 months 08 days,04 Years 09 Months 28 Days
Ismaël Bennacer,Defensive Midfield,Algeria,19/20,€12.00m,€17.20m,Empoli FC ,AC Milan,Serie B,Serie A,Second Tier,First Tier,21 years 08 months 04 days,01 Years 10 Months 26 Days
Exequiel Palacios,Central Midfield,Argentina,19/20,€25.00m,€17.00m,CA River Plate,Bayer 04 Leverkusen,Copa de la Liga Profesional de Fútbol,Bundesliga,League Cup,First Tier,21 years 02 months 27 days,01 Years 05 Months 29 Days
Munas Dabbur,Centre-Forward,Israel,19/20,€15.00m,€17.00m,Red Bull Salzburg,Sevilla FC,Bundesliga,LaLiga,First Tier,First Tier,27 years 01 month 17 days,01 Years 11 Months 30 Days
Carlos Vinícius,Centre-Forward,Brazil,19/20,€7.00m,€17.00m,SSC Napoli,SL Benfica,Serie A,Liga NOS,First Tier,First Tier,24 years 03 months 25 days,03 Years 11 Months 10 Days
Douglas Luiz,Central Midfield,Brazil,19/20,€2.50m,€16.80m,Manchester City,Aston Villa,Premier League,Premier League,First Tier,First Tier,21 years 02 months 16 days,02 Years 11 Months 05 Days
Ché Adams,Centre-Forward,Scotland,19/20,€7.00m,€16.70m,Birmingham City,Southampton FC,Championship,Premier League,Second Tier,First Tier,22 years 11 months 18 days,02 Years 11 Months 30 Days
Andrea Petagna,Centre-Forward,Italy,19/20,€18.00m,€16.60m,SPAL,SSC Napoli,Serie A,Serie A,First Tier,First Tier,24 years 07 months 00 days,03 Years 05 Months 00 Days
