name,position,country,season,market value,transfer fee,left,joined,old club league,new club league,old club league type,new club league type,age,contract remaining
Neymar,Left Winger,Brazil,17/18,€100.00m,€222.00m,FC Barcelona,Paris Saint-Germain,LaLiga,Ligue 1,First Tier,First Tier,25 years 05 months 29 days,03 Years 10 Months 27 Days
Ousmane Dembélé,Right Winger,France,17/18,€33.00m,€140.00m,Borussia Dortmund,FC Barcelona,Bundesliga,LaLiga,First Tier,First Tier,20 years 03 months 10 days,03 Years 10 Months 05 Days
Philippe Coutinho,Left Winger,Brazil,17/18,€90.00m,€135.00m,Liverpool FC,FC Barcelona,Premier League,LaLiga,First Tier,First Tier,25 years 06 months 27 days,04 Years 05 Months 22 Days
Romelu Lukaku,Centre-Forward,Belgium,17/18,€50.00m,€84.70m,Everton FC,Manchester United,Premier League,Premier League,First Tier,First Tier,24 years 01 month 27 days,01 Years 11 Months 20 Days
Virgil van Dijk,Centre-Back,Netherlands,17/18,€30.00m,€84.65m,Southampton FC,Liverpool FC,Premier League,Premier League,First Tier,First Tier,26 years 05 months 24 days,04 Years 05 Months 29 Days
Álvaro Morata,Centre-Forward,Spain,17/18,€40.00m,€66.00m,Real Madrid,Chelsea FC,LaLiga,Premier League,First Tier,First Tier,24 years 08 months 28 days,
Aymeric Laporte,Centre-Back,Spain,17/18,€25.00m,€65.00m,Athletic Bilbao,Manchester City,LaLiga,Premier League,First Tier,First Tier,23 years 08 months 03 days,02 Years 05 Months 00 Days
Pierre-Emerick Aubameyang,Centre-Forward,Gabon,17/18,€65.00m,€63.75m,Borussia Dortmund,Arsenal FC,Bundesliga,Premier League,First Tier,First Tier,28 years 07 months 13 days,03 Years 04 Months 30 Days
Diego Costa,Centre-Forward,Spain,17/18,€50.00m,€60.00m,Chelsea FC,Atlético de Madrid,Premier League,LaLiga,First Tier,First Tier,29 years 02 months 25 days,01 Years 05 Months 29 Days
Benjamin Mendy,Left-Back,France,17/18,€13.00m,€57.50m,AS Monaco,Manchester City,Ligue 1,Premier League,First Tier,First Tier,23 years 07 days,03 Years 11 Months 06 Days
Alexandre Lacazette,Centre-Forward,France,17/18,€40.00m,€53.00m,Olympique Lyon,Arsenal FC,Ligue 1,Premier League,First Tier,First Tier,26 years 01 month 07 days,01 Years 11 Months 25 Days
Kyle Walker,Right-Back,England,17/18,€30.00m,€52.70m,Tottenham Hotspur,Manchester City,Premier League,Premier League,First Tier,First Tier,27 years 01 month 16 days,03 Years 11 Months 16 Days
Bernardo Silva,Attacking Midfield,Portugal,17/18,€40.00m,€50.00m,AS Monaco,Manchester City,Ligue 1,Premier League,First Tier,First Tier,22 years 10 months 21 days,02 Years 11 Months 30 Days
Gylfi Sigurdsson,Attacking Midfield,Iceland,17/18,€25.00m,€49.40m,Swansea City,Everton FC,Premier League,Premier League,First Tier,First Tier,27 years 11 months 08 days,02 Years 10 Months 14 Days
Nemanja Matic,Defensive Midfield,Serbia,17/18,€35.00m,€44.70m,Chelsea FC,Manchester United,Premier League,Premier League,First Tier,First Tier,28 years 11 months 29 days,01 Years 10 Months 30 Days
Leonardo Bonucci,Centre-Back,Italy,17/18,€45.00m,€42.00m,Juventus FC,AC Milan,Serie A,Serie A,First Tier,First Tier,30 years 02 months 20 days,03 Years 11 Months 09 Days
