name,position,country,season,market value,transfer fee,left,joined,old club league,new club league,old club league type,new club league type,age,contract remaining
Mohamed Salah,Right Winger,Egypt,17/18,€35.00m,€42.00m,AS Roma,Liverpool FC,Serie A,Premier League,First Tier,First Tier,25 years 16 days,01 Years 11 Months 30 Days
Davinson Sánchez,Centre-Back,Colombia,17/18,€25.00m,€42.00m,Ajax Amsterdam,Tottenham Hotspur,Eredivisie,Premier League,First Tier,First Tier,21 years 02 months 11 days,03 Years 10 Months 07 Days
Corentin Tolisso,Central Midfield,France,17/18,€22.00m,€41.50m,Olympique Lyon,Bayern Munich,Ligue 1,Bundesliga,First Tier,First Tier,22 years 10 months 28 days,02 Years 11 Months 30 Days
Federico Bernardeschi,Right Winger,Italy,17/18,€30.00m,€40.00m,ACF Fiorentina,Juventus FC,Serie A,Serie A,First Tier,First Tier,23 years 05 months 08 days,01 Years 11 Months 06 Days
Cédric Bakambu,Centre-Forward,DR Congo,17/18,€25.00m,€40.00m,Villarreal CF,Beijing Guoan,LaLiga,Chinese Super League,First Tier,First Tier,26 years 09 months 06 days,04 Years 05 Months 13 Days
Ederson,Goalkeeper,Brazil,17/18,€22.00m,€40.00m,SL Benfica,Manchester City,Liga NOS,Premier League,First Tier,First Tier,23 years 10 months 14 days,05 Years 11 Months 30 Days
Tiemoué Bakayoko,Defensive Midfield,France,17/18,€16.00m,€40.00m,AS Monaco,Chelsea FC,Ligue 1,Premier League,First Tier,First Tier,22 years 10 months 28 days,01 Years 11 Months 15 Days
Paulinho,Central Midfield,Brazil,17/18,€15.00m,€40.00m,Guangzhou Evergrande Taobao,FC Barcelona,Chinese Super League,LaLiga,First Tier,First Tier,29 years 20 days,02 Years 10 Months 16 Days
Alex Oxlade-Chamberlain,Central Midfield,England,17/18,€22.00m,€38.00m,Arsenal FC,Liverpool FC,Premier League,Premier League,First Tier,First Tier,24 years 16 days,09 Months 30 Days
André Silva,Centre-Forward,Portugal,17/18,€22.00m,€38.00m,FC Porto,AC Milan,Liga NOS,Serie A,First Tier,First Tier,21 years 07 months 25 days,03 Years 11 Months 30 Days
Danny Drinkwater,Central Midfield,England,17/18,€9.00m,€37.90m,Leicester City,Chelsea FC,Premier League,Premier League,First Tier,First Tier,27 years 05 months 26 days,03 Years 09 Months 30 Days
Nélson Semedo,Right-Back,Portugal,17/18,€20.00m,€35.70m,SL Benfica,FC Barcelona,Liga NOS,LaLiga,First Tier,First Tier,23 years 07 months 28 days,03 Years 11 Months 16 Days
Vitolo,Left Winger,Spain,17/18,€25.00m,€35.60m,Sevilla FC,Atlético de Madrid,LaLiga,LaLiga,First Tier,First Tier,27 years 08 months 10 days,02 Years 11 Months 18 Days
Antonio Rüdiger,Centre-Back,Germany,17/18,€25.00m,€35.00m,AS Roma,Chelsea FC,Serie A,Premier League,First Tier,First Tier,24 years 04 months 06 days,02 Years 11 Months 21 Days
Victor Lindelöf,Centre-Back,Sweden,17/18,€22.00m,€35.00m,SL Benfica,Manchester United,Liga NOS,Premier League,First Tier,First Tier,22 years 11 months 14 days,03 Years 11 Months 30 Days
Alexis Sánchez,Centre-Forward,Chile,17/18,€70.00m,€34.00m,Arsenal FC,Manchester United,Premier League,Premier League,First Tier,First Tier,29 years 01 month 03 days,05 Months 08 Days
Henrikh Mkhitaryan,Attacking Midfield,Armenia,17/18,€35.00m,€34.00m,Manchester United,Arsenal FC,Premier League,Premier League,First Tier,First Tier,29 years 01 day,02 Years 05 Months 08 Days
Milan Skriniar,Centre-Back,Slovakia,17/18,€7.00m,€34.00m,UC Sampdoria,Inter Milan,Serie A,Serie A,First Tier,First Tier,22 years 04 months 26 days,02 Years 11 Months 23 Days
Iñigo Martínez,Centre-Back,Spain,17/18,€25.00m,€32.00m,Real Sociedad,Athletic Bilbao,LaLiga,LaLiga,First Tier,First Tier,26 years 08 months 13 days,03 Years 05 Months 00 Days
Alessandro Bastoni,Centre-Back,Italy,17/18,€1.50m,€31.10m,Atalanta BC,Inter Milan,Serie A,Serie A,First Tier,First Tier,18 years 04 months 17 days,
Yannick Carrasco,Left Winger,Belgium,17/18,€40.00m,€30.00m,Atlético de Madrid,Dalian Yifang,LaLiga,Chinese Super League,First Tier,First Tier,24 years 05 months 22 days,04 Years 04 Months 04 Days
Keita Baldé,Centre-Forward,Senegal,17/18,€25.00m,€30.00m,SS Lazio,AS Monaco,Serie A,Ligue 1,First Tier,First Tier,22 years 05 months 21 days,
Danilo,Right-Back,Brazil,17/18,€16.00m,€30.00m,Real Madrid,Manchester City,LaLiga,Premier League,First Tier,First Tier,26 years 08 days,03 Years 11 Months 07 Days
Michael Keane,Centre-Back,England,17/18,€18.00m,€28.50m,Burnley FC,Everton FC,Premier League,Premier League,First Tier,First Tier,24 years 05 months 22 days,11 Months 27 Days
Jordan Pickford,Goalkeeper,England,17/18,€15.00m,€28.50m,Sunderland AFC,Everton FC,Championship,Premier League,Second Tier,First Tier,23 years 03 months 24 days,02 Years 11 Months 30 Days
Lucas Moura,Right Winger,Brazil,17/18,€28.00m,€28.40m,Paris Saint-Germain,Tottenham Hotspur,Ligue 1,Premier League,First Tier,First Tier,25 years 05 months 18 days,01 Years 04 Months 30 Days
Mamadou Sakho,Centre-Back,France,17/18,€15.00m,€28.20m,Liverpool FC,Crystal Palace,Premier League,Premier League,First Tier,First Tier,27 years 06 months 18 days,02 Years 09 Months 30 Days
Kelechi Iheanacho,Centre-Forward,Nigeria,17/18,€15.00m,€27.70m,Manchester City,Leicester City,Premier League,Premier League,First Tier,First Tier,20 years 10 months 00 days,03 Years 10 Months 27 Days
Davy Klaassen,Attacking Midfield,Netherlands,17/18,€18.00m,€27.00m,Ajax Amsterdam,Everton FC,Eredivisie,Premier League,First Tier,First Tier,24 years 04 months 10 days,01 Years 11 Months 30 Days
Blaise Matuidi,Central Midfield,France,17/18,€30.00m,€25.00m,Paris Saint-Germain,Juventus FC,Ligue 1,Serie A,First Tier,First Tier,30 years 04 months 09 days,10 Months 12 Days
Youri Tielemans,Central Midfield,Belgium,17/18,€22.00m,€25.00m,RSC Anderlecht,AS Monaco,Jupiler Pro League,Ligue 1,First Tier,First Tier,20 years 01 month 24 days,02 Years 11 Months 30 Days
Andriy Yarmolenko,Right Winger,Ukraine,17/18,€18.00m,€25.00m,Dynamo Kyiv,Borussia Dortmund,Premier Liga,Bundesliga,First Tier,First Tier,27 years 10 months 05 days,02 Years 10 Months 02 Days
Serge Aurier,Right-Back,Cote d'Ivoire,17/18,€15.00m,€25.00m,Paris Saint-Germain,Tottenham Hotspur,Ligue 1,Premier League,First Tier,First Tier,24 years 08 months 07 days,01 Years 09 Months 30 Days
Davide Zappacosta,Right-Back,Italy,17/18,€8.50m,€25.00m,Torino FC,Chelsea FC,Serie A,Premier League,First Tier,First Tier,25 years 02 months 20 days,01 Years 09 Months 30 Days
Luis Muriel,Centre-Forward,Colombia,17/18,€17.00m,€24.50m,UC Sampdoria,Sevilla FC,Serie A,LaLiga,First Tier,First Tier,26 years 02 months 25 days,01 Years 11 Months 19 Days
Theo Hernández,Left-Back,France,17/18,€15.00m,€24.00m,Atlético de Madrid,Real Madrid,LaLiga,LaLiga,First Tier,First Tier,19 years 08 months 29 days,03 Years 11 Months 25 Days
Matías Vecino,Central Midfield,Uruguay,17/18,€13.00m,€24.00m,ACF Fiorentina,Inter Milan,Serie A,Serie A,First Tier,First Tier,25 years 11 months 09 days,03 Years 10 Months 28 Days
Andrea Conti,Right-Back,Italy,17/18,€10.00m,€24.00m,Atalanta BC,AC Milan,Serie A,Serie A,First Tier,First Tier,23 years 04 months 05 days,
Hakan Calhanoglu,Central Midfield,Turkey,17/18,€20.00m,€23.30m,Bayer 04 Leverkusen,AC Milan,Bundesliga,Serie A,First Tier,First Tier,23 years 04 months 25 days,01 Years 11 Months 27 Days
Leandro Paredes,Defensive Midfield,Argentina,17/18,€13.00m,€23.00m,AS Roma,Zenit St. Petersburg,Serie A,Premier Liga,First Tier,First Tier,23 years 02 days,01 Years 11 Months 30 Days
André Ayew,Left Winger,Ghana,17/18,€18.00m,€22.80m,West Ham United,Swansea City,Premier League,Premier League,First Tier,First Tier,28 years 01 month 14 days,01 Years 04 Months 30 Days
Nathan Aké,Centre-Back,Netherlands,17/18,€8.00m,€22.80m,Chelsea FC,AFC Bournemouth,Premier League,Premier League,First Tier,First Tier,22 years 04 months 13 days,02 Years 11 Months 30 Days
Theo Walcott,Right Winger,England,17/18,€20.00m,€22.50m,Arsenal FC,Everton FC,Premier League,Premier League,First Tier,First Tier,28 years 10 months 01 day,01 Years 05 Months 13 Days
Cenk Tosun,Centre-Forward,Turkey,17/18,€10.50m,€22.50m,Besiktas JK,Everton FC,Süper Lig,Premier League,First Tier,First Tier,26 years 06 months 29 days,01 Years 05 Months 25 Days
Marko Arnautovic,Centre-Forward,Austria,17/18,€15.00m,€22.30m,Stoke City,West Ham United,Premier League,Premier League,First Tier,First Tier,28 years 03 months 03 days,02 Years 11 Months 08 Days
Guido Carrillo,Centre-Forward,Argentina,17/18,€6.00m,€22.00m,AS Monaco,Southampton FC,Ligue 1,Premier League,First Tier,First Tier,26 years 08 months 00 days,02 Years 05 Months 05 Days
Rodrigo Bentancur,Central Midfield,Uruguay,17/18,€6.00m,€21.70m,CA Boca Juniors,Juventus FC,Superliga,Serie A,First Tier,First Tier,20 years 06 days,01 Years 06 Months 00 Days
Manuel Akanji,Centre-Back,Switzerland,17/18,€5.00m,€21.50m,FC Basel 1893,Borussia Dortmund,Super League,Bundesliga,First Tier,First Tier,22 years 05 months 27 days,03 Years 05 Months 15 Days
Kingsley Coman,Left Winger,France,17/18,€20.00m,€21.00m,Juventus FC,Bayern Munich,Serie A,Bundesliga,First Tier,First Tier,21 years 18 days,01 Years 11 Months 30 Days
Nikola Maksimovic,Centre-Back,Serbia,17/18,€10.00m,€21.00m,Torino FC,SSC Napoli,Serie A,Serie A,First Tier,First Tier,25 years 07 months 06 days,11 Months 30 Days
Dalbert,Left-Back,Brazil,17/18,€5.00m,€21.00m,OGC Nice,Inter Milan,Ligue 1,Serie A,First Tier,First Tier,23 years 11 months 01 day,03 Years 10 Months 21 Days
Pietro Pellegri,Centre-Forward,Italy,17/18,€8.00m,€20.90m,Genoa CFC,AS Monaco,Serie A,Ligue 1,First Tier,First Tier,16 years 10 months 10 days,01 Years 05 Months 03 Days
Jadon Sancho,Left Winger,England,17/18,€5.00m,€20.59m,Manchester City U18,Borussia Dortmund,U18 Premier League,Bundesliga,Youth league,First Tier,17 years 05 months 06 days,02 Years 09 Months 30 Days
Adrien Silva,Central Midfield,Portugal,17/18,€25.00m,€20.50m,Sporting CP,Leicester City,Liga NOS,Premier League,First Tier,First Tier,28 years 05 months 16 days,02 Years 09 Months 30 Days
Roberto Gagliardini,Central Midfield,Italy,17/18,€15.00m,€20.50m,Atalanta BC,Inter Milan,Serie A,Serie A,First Tier,First Tier,23 years 03 months 25 days,03 Years 10 Months 29 Days
Andre Gray,Centre-Forward,Jamaica,17/18,€10.00m,€20.40m,Burnley FC,Watford FC,Premier League,Premier League,First Tier,First Tier,26 years 01 month 14 days,10 Months 21 Days
Juan Cuadrado,Right Midfield,Colombia,17/18,€25.00m,€20.00m,Chelsea FC,Juventus FC,Premier League,Serie A,First Tier,First Tier,29 years 01 month 05 days,01 Years 11 Months 30 Days
Niklas Süle,Centre-Back,Germany,17/18,€25.00m,€20.00m,TSG 1899 Hoffenheim,Bayern Munich,Bundesliga,Bundesliga,First Tier,First Tier,21 years 09 months 28 days,01 Years 11 Months 30 Days
Maximilian Philipp,Second Striker,Germany,17/18,€15.00m,€20.00m,SC Freiburg,Borussia Dortmund,Bundesliga,Bundesliga,First Tier,First Tier,23 years 04 months 02 days,01 Years 11 Months 30 Days
Kevin Kampl,Central Midfield,Slovenia,17/18,€15.00m,€20.00m,Bayer 04 Leverkusen,RB Leipzig,Bundesliga,Bundesliga,First Tier,First Tier,26 years 10 months 22 days,02 Years 09 Months 30 Days
Óliver Torres,Central Midfield,Spain,17/18,€14.00m,€20.00m,Atlético de Madrid,FC Porto,LaLiga,Liga NOS,First Tier,First Tier,22 years 07 months 21 days,11 Months 30 Days
Emerson,Left-Back,Italy,17/18,€14.00m,€20.00m,AS Roma,Chelsea FC,Serie A,Premier League,First Tier,First Tier,23 years 05 months 27 days,03 Years 05 Months 00 Days
Lucas Biglia,Defensive Midfield,Argentina,17/18,€20.00m,€19.70m,SS Lazio,AC Milan,Serie A,Serie A,First Tier,First Tier,31 years 05 months 16 days,02 Years 11 Months 14 Days
Kevin Wimmer,Centre-Back,Austria,17/18,€7.00m,€19.40m,Tottenham Hotspur,Stoke City,Premier League,Premier League,First Tier,First Tier,24 years 09 months 14 days,03 Years 10 Months 01 Days
Nabil Bentaleb,Central Midfield,Algeria,17/18,€18.00m,€19.00m,Tottenham Hotspur,FC Schalke 04,Premier League,Bundesliga,First Tier,First Tier,22 years 07 months 07 days,02 Years 11 Months 30 Days
Lucas Alario,Centre-Forward,Argentina,17/18,€12.00m,€19.00m,CA River Plate,Bayer 04 Leverkusen,Superliga,Bundesliga,First Tier,First Tier,24 years 10 months 23 days,02 Years 09 Months 30 Days
Mateo Musacchio,Centre-Back,Argentina,17/18,€18.00m,€18.00m,Villarreal CF,AC Milan,LaLiga,Serie A,First Tier,First Tier,26 years 10 months 05 days,11 Months 30 Days
Wojciech Szczesny,Goalkeeper,Poland,17/18,€17.00m,€18.00m,Arsenal FC,Juventus FC,Premier League,Serie A,First Tier,First Tier,27 years 03 months 01 day,11 Months 11 Days
Nicolas Pépé,Right Winger,Cote d'Ivoire,17/18,€3.00m,€18.00m,Angers SCO,LOSC Lille,Ligue 1,Ligue 1,First Tier,First Tier,22 years 01 month 02 days,01 Years 11 Months 30 Days
Rúben Neves,Defensive Midfield,Portugal,17/18,€10.00m,€17.90m,FC Porto,Wolverhampton Wanderers,Liga NOS,Championship,First Tier,Second Tier,20 years 03 months 25 days,01 Years 11 Months 22 Days
Chicharito,Centre-Forward,Mexico,17/18,€18.00m,€17.80m,Bayer 04 Leverkusen,West Ham United,Bundesliga,Premier League,First Tier,First Tier,29 years 01 month 22 days,11 Months 06 Days
Panagiotis Retsos,Centre-Back,Greece,17/18,€5.00m,€17.50m,Olympiacos Piraeus,Bayer 04 Leverkusen,Super League 1,Bundesliga,First Tier,First Tier,19 years 22 days,03 Years 09 Months 30 Days
Mario Lemina,Defensive Midfield,Gabon,17/18,€7.50m,€17.25m,Juventus FC,Southampton FC,Serie A,Premier League,First Tier,First Tier,23 years 11 months 07 days,02 Years 10 Months 22 Days
Britt Assombalonga,Centre-Forward,DR Congo,17/18,€5.00m,€17.10m,Nottingham Forest,Middlesbrough FC,Championship,Championship,Second Tier,Second Tier,24 years 07 months 11 days,03 Years 11 Months 13 Days
Olivier Giroud,Centre-Forward,France,17/18,€20.00m,€17.00m,Arsenal FC,Chelsea FC,Premier League,Premier League,First Tier,First Tier,31 years 04 months 01 day,01 Years 04 Months 30 Days
Matthias Ginter,Centre-Back,Germany,17/18,€15.00m,€17.00m,Borussia Dortmund,Borussia Mönchengladbach,Bundesliga,Bundesliga,First Tier,First Tier,23 years 05 months 15 days,01 Years 11 Months 26 Days
John Anthony Brooks,Centre-Back,United States,17/18,€14.00m,€17.00m,Hertha BSC,VfL Wolfsburg,Bundesliga,Bundesliga,First Tier,First Tier,24 years 05 months 03 days,01 Years 11 Months 30 Days
Giovanni Simeone,Centre-Forward,Argentina,17/18,€10.00m,€17.00m,Genoa CFC,ACF Fiorentina,Serie A,Serie A,First Tier,First Tier,22 years 01 month 11 days,03 Years 10 Months 14 Days
Jürgen Locadia,Centre-Forward,Curacao,17/18,€8.50m,€17.00m,PSV Eindhoven,Brighton & Hove Albion,Eredivisie,Premier League,First Tier,First Tier,24 years 02 months 12 days,02 Years 05 Months 11 Days
Jhon Córdoba,Centre-Forward,Colombia,17/18,€7.00m,€17.00m,1.FSV Mainz 05,1.FC Köln,Bundesliga,Bundesliga,First Tier,First Tier,24 years 01 month 20 days,02 Years 11 Months 30 Days
Ismaïla Sarr,Right Winger,Senegal,17/18,€2.50m,€17.00m,FC Metz,Stade Rennais FC,Ligue 1,Ligue 1,First Tier,First Tier,19 years 05 months 01 day,03 Years 11 Months 04 Days
Ross Barkley,Central Midfield,England,17/18,€25.00m,€16.80m,Everton FC,Chelsea FC,Premier League,Premier League,First Tier,First Tier,24 years 01 month 00 days,05 Months 25 Days
Medhi Benatia,Centre-Back,Morocco,17/18,€15.00m,€16.70m,Bayern Munich,Juventus FC,Bundesliga,Serie A,First Tier,First Tier,30 years 02 months 14 days,01 Years 11 Months 30 Days
Marten de Roon,Defensive Midfield,Netherlands,17/18,€10.00m,€16.70m,Middlesbrough FC,Atalanta BC,Championship,Serie A,Second Tier,First Tier,26 years 04 months 12 days,02 Years 10 Months 20 Days
Dani Ceballos,Central Midfield,Spain,17/18,€10.00m,€16.50m,Real Betis Balompié,Real Madrid,LaLiga,LaLiga,First Tier,First Tier,20 years 11 months 07 days,02 Years 11 Months 16 Days
Chris Wood,Centre-Forward,New Zealand,17/18,€6.00m,€16.40m,Leeds United,Burnley FC,Championship,Premier League,Second Tier,First Tier,25 years 08 months 14 days,01 Years 10 Months 09 Days
Sam Clucas,Central Midfield,England,17/18,€2.50m,€16.30m,Hull City,Swansea City,Championship,Premier League,Second Tier,First Tier,26 years 10 months 29 days,01 Years 10 Months 07 Days
Simone Zaza,Centre-Forward,Italy,17/18,€15.00m,€16.00m,Juventus FC,Valencia CF,Serie A,LaLiga,First Tier,First Tier,26 years 06 days,02 Years 11 Months 30 Days
Yuri Berchiche,Left-Back,Spain,17/18,€10.00m,€16.00m,Real Sociedad,Paris Saint-Germain,LaLiga,Ligue 1,First Tier,First Tier,27 years 04 months 27 days,
Rick Karsdorp,Right-Back,Netherlands,17/18,€9.00m,€16.00m,Feyenoord Rotterdam,AS Roma,Eredivisie,Serie A,First Tier,First Tier,22 years 04 months 20 days,03 Years 11 Months 30 Days
Wesley Hoedt,Centre-Back,Netherlands,17/18,€7.50m,€16.00m,SS Lazio,Southampton FC,Serie A,Premier League,First Tier,First Tier,23 years 05 months 16 days,01 Years 10 Months 08 Days
Badou Ndiaye,Central Midfield,Senegal,17/18,€7.00m,€16.00m,Galatasaray,Stoke City,Süper Lig,Premier League,First Tier,First Tier,27 years 03 months 04 days,03 Years 04 Months 30 Days
Emanuel Mammana,Centre-Back,Argentina,17/18,€7.00m,€16.00m,Olympique Lyon,Zenit St. Petersburg,Ligue 1,Premier Liga,First Tier,First Tier,21 years 05 months 21 days,03 Years 10 Months 30 Days
Jean-Kévin Augustin,Centre-Forward,France,17/18,€3.00m,€16.00m,Paris Saint-Germain,RB Leipzig,Ligue 1,Bundesliga,First Tier,First Tier,20 years 20 days,11 Months 24 Days
Oliver Burke,Centre-Forward,Scotland,17/18,€7.00m,€15.20m,RB Leipzig,West Bromwich Albion,Bundesliga,Premier League,First Tier,First Tier,20 years 04 months 18 days,03 Years 10 Months 05 Days
Fernando Llorente,Centre-Forward,Spain,17/18,€6.00m,€15.10m,Swansea City,Tottenham Hotspur,Premier League,Premier League,First Tier,First Tier,32 years 06 months 05 days,09 Months 30 Days
Ricardo Rodríguez,Centre-Back,Switzerland,17/18,€17.00m,€15.00m,VfL Wolfsburg,AC Milan,Bundesliga,Serie A,First Tier,First Tier,24 years 10 months 06 days,01 Years 11 Months 30 Days
Konstantinos Mitroglou,Centre-Forward,Greece,17/18,€12.00m,€15.00m,SL Benfica,Olympique Marseille,Liga NOS,Ligue 1,First Tier,First Tier,29 years 05 months 19 days,02 Years 09 Months 30 Days
Bruma,Left Winger,Portugal,17/18,€11.00m,€15.00m,Galatasaray,RB Leipzig,Süper Lig,Bundesliga,First Tier,First Tier,22 years 08 months 07 days,11 Months 30 Days
Terence Kongolo,Centre-Back,Netherlands,17/18,€10.00m,€15.00m,Feyenoord Rotterdam,AS Monaco,Eredivisie,Ligue 1,First Tier,First Tier,23 years 04 months 19 days,01 Years 11 Months 27 Days
Vicente Iborra,Defensive Midfield,Spain,17/18,€9.00m,€15.00m,Sevilla FC,Leicester City,LaLiga,Premier League,First Tier,First Tier,29 years 05 months 20 days,02 Years 11 Months 24 Days
Sebastián Driussi,Attacking Midfield,Argentina,17/18,€8.00m,€15.00m,CA River Plate,Zenit St. Petersburg,Superliga,Premier Liga,First Tier,First Tier,21 years 04 months 29 days,01 Years 11 Months 22 Days
Gianluca Caprari,Second Striker,Italy,17/18,€6.00m,€15.00m,Inter Milan,UC Sampdoria,Serie A,Serie A,First Tier,First Tier,23 years 11 months 01 day,03 Years 11 Months 30 Days
José Izquierdo,Left Winger,Colombia,17/18,€14.00m,€14.50m,Club Brugge KV,Brighton & Hove Albion,Jupiler Pro League,Premier League,First Tier,First Tier,25 years 01 month 13 days,01 Years 10 Months 10 Days
Cengiz Ünder,Right Winger,Turkey,17/18,€5.00m,€14.25m,Basaksehir FK,AS Roma,Süper Lig,Serie A,First Tier,First Tier,20 years 02 days,03 Years 11 Months 14 Days
Francis Coquelin,Defensive Midfield,France,17/18,€12.00m,€14.00m,Arsenal FC,Valencia CF,Premier League,LaLiga,First Tier,First Tier,26 years 07 months 29 days,
Ignacio Camacho,Defensive Midfield,Spain,17/18,€10.00m,€14.00m,Málaga CF,VfL Wolfsburg,LaLiga,Bundesliga,First Tier,First Tier,27 years 02 months 04 days,01 Years 11 Months 22 Days
Enes Ünal,Centre-Forward,Turkey,17/18,€10.00m,€14.00m,Manchester City,Villarreal CF,Premier League,LaLiga,First Tier,First Tier,20 years 01 month 21 days,01 Years 11 Months 30 Days
Rúben Semedo,Centre-Back,Portugal,17/18,€9.00m,€14.00m,Sporting CP,Villarreal CF,Liga NOS,LaLiga,First Tier,First Tier,23 years 02 months 27 days,04 Years 11 Months 30 Days
Thiago Maia,Defensive Midfield,Brazil,17/18,€4.50m,€14.00m,Santos FC,LOSC Lille,Campeonato Brasileiro Série A,Ligue 1,First Tier,First Tier,20 years 04 months 08 days,01 Years 10 Months 30 Days
Jay Rodríguez,Centre-Forward,England,17/18,€10.00m,€13.70m,Southampton FC,West Bromwich Albion,Premier League,Premier League,First Tier,First Tier,27 years 11 months 03 days,01 Years 11 Months 28 Days
Harry Maguire,Centre-Back,England,17/18,€8.00m,€13.70m,Hull City,Leicester City,Championship,Premier League,Second Tier,First Tier,24 years 03 months 26 days,11 Months 30 Days
Marko Rog,Central Midfield,Croatia,17/18,€10.00m,€13.50m,GNK Dinamo Zagreb,SSC Napoli,1.HNL,Serie A,First Tier,First Tier,21 years 11 months 12 days,02 Years 11 Months 15 Days
James Rodríguez,Attacking Midfield,Colombia,17/18,€50.00m,Loan fee:€13.00m,Real Madrid,Bayern Munich,LaLiga,Bundesliga,First Tier,First Tier,26 years 00 days,03 Years 11 Months 18 Days
Wilfried Bony,Centre-Forward,Cote d'Ivoire,17/18,€18.00m,€13.00m,Manchester City,Swansea City,Premier League,Premier League,First Tier,First Tier,28 years 08 months 21 days,01 Years 09 Months 30 Days
Davy Pröpper,Central Midfield,Netherlands,17/18,€10.00m,€13.00m,PSV Eindhoven,Brighton & Hove Albion,Eredivisie,Premier League,First Tier,First Tier,25 years 11 months 05 days,02 Years 10 Months 23 Days
Sandro Wagner,Centre-Forward,Germany,17/18,€9.00m,€13.00m,TSG 1899 Hoffenheim,Bayern Munich,Bundesliga,Bundesliga,First Tier,First Tier,30 years 01 month 03 days,02 Years 05 Months 29 Days
Steve Mounié,Centre-Forward,Benin,17/18,€5.50m,€13.00m,Montpellier HSC,Huddersfield Town,Ligue 1,Premier League,First Tier,First Tier,22 years 09 months 06 days,01 Years 11 Months 25 Days
Emre Mor,Right Winger,Turkey,17/18,€5.00m,€13.00m,Borussia Dortmund,Celta de Vigo,Bundesliga,LaLiga,First Tier,First Tier,20 years 01 month 05 days,03 Years 10 Months 01 Days
Roque Mesa,Central Midfield,Spain,17/18,€12.00m,€12.50m,UD Las Palmas,Swansea City,LaLiga,Premier League,First Tier,First Tier,28 years 29 days,02 Years 11 Months 24 Days
Bruno Peres,Right-Back,Brazil,17/18,€11.00m,€12.50m,Torino FC,AS Roma,Serie A,Serie A,First Tier,First Tier,27 years 04 months 02 days,02 Years 11 Months 30 Days
Simon Kjaer,Centre-Back,Denmark,17/18,€11.00m,€12.50m,Fenerbahce,Sevilla FC,Süper Lig,LaLiga,First Tier,First Tier,28 years 04 months 05 days,01 Years 10 Months 30 Days
